,sex,age,address,Medu,Fedu,Mjob,Fjob,traveltime,studytime,failures,activities,higher,health,absences,M1,M2,M3
70,1,16,1,3,1,2,2,2,4,0,0,1,5,0,1,2,2
71,1,15,1,4,2,2,2,1,4,0,0,1,3,0,1,1,1
72,0,15,0,1,1,2,2,1,2,2,0,1,5,2,1,1,1
73,1,16,1,3,1,2,2,1,1,0,1,1,5,2,1,1,2
74,0,16,1,3,3,2,3,1,2,0,1,1,5,54,1,1,1
75,1,15,1,4,3,4,2,1,2,0,1,1,5,6,1,1,1
76,1,15,1,4,0,4,2,2,4,0,1,1,1,8,1,1,1
77,0,16,1,2,2,2,2,1,4,0,0,1,3,0,1,1,1
78,1,17,1,2,1,2,2,2,1,3,1,0,3,2,1,1,1
79,0,16,1,3,4,0,2,1,2,0,0,1,3,12,1,1,1
80,1,15,1,2,3,2,3,1,1,0,1,1,3,2,1,1,1
81,1,15,1,2,3,2,2,1,3,0,0,1,5,4,1,1,1
82,0,15,1,3,2,3,2,1,2,0,0,1,5,10,1,1,1
83,1,15,1,2,2,3,3,2,2,0,1,1,4,4,2,2,2
84,0,15,1,1,1,2,2,1,2,0,1,1,4,2,1,1,1
85,0,15,1,4,4,3,3,2,2,2,0,1,5,6,1,1,1
86,0,16,1,2,2,0,2,1,2,0,0,1,2,4,1,1,1
87,0,15,1,4,2,2,2,1,3,0,1,1,1,4,1,2,2
88,1,16,1,2,2,3,2,2,2,1,1,1,3,12,1,1,1
89,1,16,1,4,4,4,1,1,2,0,0,1,5,18,1,1,1
90,0,16,1,3,3,2,2,1,3,0,0,1,4,0,1,1,1
91,0,15,1,4,3,3,2,1,1,0,1,1,1,4,2,2,2
92,0,16,1,3,1,2,2,1,2,0,0,1,2,4,1,1,1
93,0,16,1,4,2,4,3,2,2,0,1,1,1,0,1,1,1
94,1,15,1,2,2,3,1,1,4,0,1,1,4,6,1,1,2
95,0,15,0,1,1,0,2,2,4,1,1,1,1,2,1,1,1
96,1,16,0,4,3,3,2,2,1,0,1,1,4,2,1,2,2
97,0,16,1,2,1,2,2,1,2,0,0,1,5,2,1,1,1
98,0,16,1,4,4,2,2,1,1,0,1,1,1,6,1,2,2
99,0,16,1,4,3,2,0,1,3,0,0,1,3,0,1,1,1
100,1,16,1,4,4,3,3,1,1,0,1,1,4,14,1,1,1
101,1,16,1,4,4,3,4,1,3,0,1,1,4,0,2,2,2
102,1,15,1,4,4,3,2,1,1,0,1,1,5,4,1,1,2
103,0,15,1,3,2,3,2,2,2,0,0,1,2,26,1,1,1
104,1,15,1,3,4,3,2,1,2,0,1,1,1,0,2,2,2
105,0,15,1,3,3,2,1,1,4,0,0,1,4,10,1,1,1
106,0,15,1,2,2,2,2,1,4,0,0,1,3,8,1,1,1
107,1,16,1,3,3,3,2,1,3,0,1,1,5,2,2,2,2
108,1,15,0,4,4,2,2,4,4,0,1,1,1,6,1,1,1
109,0,16,1,4,4,1,1,1,3,0,1,1,4,4,2,2,2
110,1,15,1,4,4,4,4,1,1,0,1,1,4,6,2,2,2
111,0,16,0,3,3,3,2,1,3,1,1,1,2,0,1,1,1
112,0,16,1,2,2,0,2,1,2,1,1,1,5,6,1,1,1
113,1,15,1,4,2,4,2,1,1,0,0,1,3,10,2,2,2
114,1,15,0,2,1,1,3,1,2,0,1,1,5,8,1,1,1
115,1,16,1,4,4,4,4,1,2,0,1,1,5,2,2,2,2
116,1,15,1,4,4,2,4,2,2,0,1,1,2,2,1,1,2
117,1,16,1,3,3,2,3,2,1,0,1,1,5,0,1,2,1
118,1,17,0,1,3,2,2,3,2,1,1,1,5,20,1,1,1
119,1,15,1,3,4,2,2,1,1,0,0,1,4,6,2,1,1
120,0,15,1,1,2,0,3,1,2,0,0,1,1,2,2,2,2
121,1,15,1,2,2,3,3,1,4,0,1,1,5,6,2,2,2
122,0,16,1,2,4,2,1,2,2,0,1,1,5,2,1,1,1
123,1,16,1,4,4,1,2,1,1,0,1,1,5,18,2,1,1
124,0,16,1,2,2,2,2,1,2,0,0,1,5,0,1,1,1
125,1,15,1,3,4,3,3,1,1,0,0,1,5,0,1,1,1
126,0,15,1,3,4,2,2,1,2,0,1,1,1,0,1,1,1
127,0,19,1,0,1,0,2,1,2,3,0,0,5,2,1,1,1
128,1,18,0,2,2,3,2,1,1,2,1,1,4,0,1,1,0
129,1,16,0,4,4,4,4,1,1,0,1,1,4,8,2,2,2
130,0,15,0,3,4,3,4,2,3,2,0,1,5,0,1,0,0
131,0,15,1,1,1,0,2,3,1,0,1,1,4,0,1,0,0
132,0,17,1,2,2,2,2,1,1,0,0,1,5,12,1,1,1
133,0,16,1,3,4,3,2,1,1,0,0,1,5,16,1,1,1
134,1,15,0,3,4,0,4,4,2,0,0,1,5,0,1,0,0
135,0,15,1,4,4,3,0,1,3,0,1,1,5,0,1,0,0
136,1,17,0,3,4,0,2,3,2,0,0,1,5,0,1,0,0
137,0,16,1,3,3,2,2,2,1,2,1,1,5,0,1,0,0
138,1,16,1,1,1,3,2,1,2,1,0,1,5,0,2,1,1
139,0,15,1,4,4,4,4,2,1,0,1,1,5,0,2,2,2
140,1,15,1,4,3,4,3,2,4,0,0,1,3,0,1,1,0
141,1,16,1,2,2,3,3,2,1,2,1,1,2,8,1,1,1
142,0,15,1,4,4,4,3,1,3,0,1,1,5,2,1,1,1
143,0,16,1,1,1,0,0,1,1,0,0,1,1,2,2,2,1
144,1,17,1,2,1,2,2,1,1,3,0,1,5,0,1,0,0
145,0,15,1,1,1,2,3,1,2,0,0,1,5,0,1,1,1
146,0,15,1,3,2,1,3,1,2,3,0,1,3,0,1,1,0
147,0,15,1,1,2,0,2,1,2,0,0,1,5,2,1,1,1
148,1,16,1,4,4,4,4,1,1,0,0,0,5,0,1,1,0
149,1,15,1,2,1,3,2,4,1,3,0,1,5,0,1,1,1
150,1,18,1,1,1,2,2,1,1,3,0,0,4,0,1,1,0
151,1,16,1,2,1,0,2,1,1,1,1,1,5,6,1,1,2
152,0,15,0,3,3,3,3,2,3,2,1,1,3,8,1,1,1
153,1,19,1,3,2,3,0,1,1,3,0,0,4,0,1,0,0
154,0,17,1,4,4,2,4,1,1,0,0,1,4,0,1,1,1
155,1,15,0,2,3,0,3,1,2,0,1,1,1,2,1,1,1
156,1,17,0,1,2,2,2,1,1,0,0,1,5,8,2,1,1
157,0,18,0,1,1,0,2,3,1,3,1,1,4,6,1,1,1
158,1,16,0,2,2,0,2,3,1,0,0,1,3,2,2,2,2
159,1,16,1,3,3,2,3,1,2,1,0,1,5,4,1,1,1
160,1,17,0,2,1,0,2,2,1,2,1,0,5,0,1,1,0
161,1,15,0,3,2,2,2,2,2,2,0,1,3,6,1,1,1
162,1,16,1,1,2,2,2,2,1,1,1,1,5,0,1,0,0
163,1,17,1,1,3,0,3,1,1,0,0,0,2,2,1,1,1
164,1,17,0,1,1,2,3,4,2,3,1,0,5,0,1,1,1
165,1,16,1,3,2,3,3,2,1,1,1,0,2,16,1,1,1
166,1,16,1,2,2,2,2,1,2,0,0,0,4,4,1,1,1
167,0,16,1,4,2,1,3,1,2,0,0,1,3,0,2,2,2
168,0,16,1,2,2,2,2,1,2,0,0,1,4,0,1,1,0
169,0,16,1,4,4,1,1,1,2,0,0,1,3,0,2,2,2
170,1,16,1,3,4,2,2,3,1,2,1,1,2,0,1,1,0
171,1,16,1,1,0,2,2,2,2,0,1,1,3,2,1,2,2
172,1,17,1,4,4,4,2,1,2,0,1,1,5,0,1,1,1
173,0,16,1,1,3,0,3,1,2,3,1,1,3,0,1,1,0
174,0,16,1,3,3,2,2,2,2,0,1,1,4,4,1,1,1
175,1,17,1,4,3,4,2,2,2,0,1,1,4,4,1,1,1
176,0,16,1,2,2,3,2,2,2,0,1,1,5,2,1,1,1
177,1,17,1,3,3,2,2,1,2,0,1,1,4,4,1,1,1
178,1,16,0,4,2,4,3,1,1,0,1,1,3,10,1,1,1
179,1,17,1,4,3,2,2,1,2,0,1,1,2,4,1,1,1
180,1,16,1,4,3,4,2,1,2,0,1,1,3,10,1,1,1
181,1,16,1,3,3,3,2,1,2,0,1,1,3,2,1,1,1
182,0,17,1,2,4,3,3,1,2,0,1,1,5,0,2,2,2
183,0,17,1,3,3,2,2,1,2,0,1,1,1,56,1,1,1
184,0,16,1,3,2,2,2,1,2,0,0,1,1,14,1,1,1
185,1,17,1,3,3,3,3,1,2,0,1,1,4,12,1,1,1
186,1,16,1,1,2,3,3,1,1,0,1,1,3,2,1,1,1
187,1,16,1,2,1,2,2,1,2,0,1,1,5,0,2,2,2
188,0,17,1,3,3,1,2,1,2,0,0,1,3,6,1,1,1
189,1,17,0,1,2,0,2,1,2,0,0,1,3,4,1,1,1
190,0,16,1,2,3,3,3,1,2,0,0,1,2,10,1,1,1
191,0,17,1,1,1,0,3,1,2,0,1,1,3,0,1,1,1
192,1,17,1,1,2,0,3,2,2,0,1,1,5,12,1,1,1
193,1,16,0,3,3,3,3,1,1,0,1,1,5,8,1,1,1
194,1,16,1,2,3,2,2,2,1,0,0,1,3,0,1,2,2
195,0,17,1,2,4,3,3,1,2,0,1,1,5,0,2,2,2
196,1,17,1,4,4,3,4,1,1,0,0,1,5,4,2,2,2
197,1,16,0,3,3,4,2,3,1,0,1,1,3,8,1,1,1
198,0,17,1,4,4,3,4,2,1,1,0,1,2,24,2,2,2
199,0,16,1,4,4,4,4,1,2,0,0,1,3,0,1,1,1
200,0,16,1,4,3,1,2,1,2,0,1,1,2,2,2,2,2
201,0,16,1,2,3,2,2,1,2,0,1,1,4,6,1,1,1
202,0,17,1,1,1,2,2,1,2,0,0,1,1,4,1,1,1
203,0,17,0,2,2,2,2,1,1,0,0,1,3,18,1,1,1
204,0,16,0,2,2,3,3,2,4,0,1,1,5,6,1,1,1
205,0,17,1,3,4,0,3,1,3,1,0,1,5,28,1,1,1
206,0,16,1,3,1,3,2,1,2,3,0,1,4,5,1,1,1
207,0,16,1,4,3,4,2,1,2,0,1,1,1,10,1,1,1
208,0,16,1,1,1,0,2,2,1,0,0,1,5,6,1,1,1
209,0,17,0,4,3,4,2,2,3,0,1,1,4,6,1,1,1
210,0,19,1,3,3,2,2,1,4,0,1,1,3,10,1,1,1
211,1,17,1,4,4,3,2,1,2,0,0,1,3,13,1,1,1
212,0,16,1,2,2,2,2,1,2,0,0,1,4,0,1,1,2
213,1,18,1,2,2,3,2,1,2,1,1,1,5,15,1,1,1
214,0,17,0,4,4,3,2,1,1,0,0,1,3,12,1,1,1
215,0,17,1,3,2,2,2,2,2,0,0,1,1,2,2,2,2
216,0,17,1,4,3,2,2,1,2,2,0,1,1,22,1,1,1
217,1,18,1,3,3,3,1,1,2,1,0,1,4,13,1,1,1
218,0,17,1,2,3,0,2,2,1,0,0,1,3,3,1,1,1
219,0,17,1,2,2,0,0,1,3,0,1,1,4,4,1,1,1
220,0,17,0,2,1,0,3,2,2,0,1,1,5,2,1,1,1
221,0,17,1,1,1,0,2,1,3,1,1,1,5,0,1,1,0
222,0,16,1,2,3,3,4,1,2,0,0,1,3,2,2,2,2
223,1,18,1,2,2,2,2,2,2,0,0,1,4,0,1,1,1
224,0,16,1,4,4,4,3,1,3,0,1,1,5,0,1,1,2
225,0,18,0,3,1,2,2,1,2,1,1,1,4,16,1,1,1
226,0,17,1,3,2,2,2,1,2,0,1,1,3,10,2,2,2
227,1,17,1,2,3,3,3,1,2,0,0,1,3,2,1,1,1
228,1,18,1,2,1,0,2,4,2,0,1,1,3,14,1,1,1
229,0,17,1,2,1,2,2,2,3,0,1,1,3,10,1,1,1
230,0,17,1,4,3,1,2,1,2,0,1,1,3,14,1,1,2
231,1,17,0,2,2,2,2,2,2,0,1,1,1,4,1,1,1
232,1,17,1,4,4,4,4,1,2,0,1,1,2,14,1,1,1
233,1,16,1,4,4,1,2,1,2,0,1,1,1,2,2,1,1
234,1,16,1,1,1,2,2,2,2,0,0,1,5,18,1,1,1
235,1,16,1,3,2,0,2,2,3,0,1,1,2,10,1,1,1
236,1,17,1,2,2,2,2,1,2,0,1,1,4,4,2,1,1
237,0,16,1,2,1,2,2,1,1,0,0,1,5,20,1,1,1
238,0,17,0,2,1,0,3,3,2,0,1,1,3,2,1,1,1
239,1,18,1,2,2,2,3,1,2,1,0,0,2,0,1,1,0
240,1,17,1,4,3,1,2,2,2,0,1,1,5,14,1,1,1
241,1,17,0,4,4,4,2,2,2,0,0,1,4,2,1,1,1
242,1,16,1,4,3,4,2,1,1,0,1,1,3,0,1,0,0
243,1,16,1,4,4,3,3,1,1,0,1,1,5,0,1,1,1
244,0,18,1,2,1,2,2,2,3,0,0,1,3,0,1,0,0
245,1,16,1,2,1,2,2,3,1,0,0,1,4,6,2,2,2
246,1,17,1,2,3,2,2,2,1,0,0,1,2,4,1,1,1
247,1,22,1,3,1,3,3,1,1,3,0,0,1,16,1,1,1
248,1,18,0,3,3,2,3,1,2,1,0,1,5,8,0,1,1
249,1,16,1,0,2,2,2,1,1,0,0,1,5,0,1,2,2
250,1,18,1,3,2,3,2,2,1,1,0,0,5,0,1,1,1
251,1,16,1,3,3,0,2,3,2,0,0,1,2,6,1,1,1
252,1,18,1,2,1,3,3,1,1,1,0,0,5,4,1,1,1
253,1,16,0,2,1,2,2,2,1,0,1,1,3,0,1,1,1
254,1,17,0,2,1,2,2,1,1,0,0,1,5,0,1,1,1
255,1,17,1,1,1,1,2,2,1,1,1,1,5,2,1,1,1
256,0,17,1,4,2,4,3,1,4,0,1,1,4,6,2,1,1
257,1,19,1,4,3,3,0,1,2,0,0,1,1,12,1,1,1
258,1,18,1,2,1,2,2,1,2,0,1,1,4,8,2,2,2
259,0,17,1,2,2,3,3,1,4,0,1,1,2,0,1,1,0
260,0,18,1,4,3,3,2,1,2,0,0,1,2,21,2,2,2
261,1,18,1,4,3,4,2,1,2,0,0,1,3,2,1,1,1
262,1,18,0,3,2,2,2,1,3,0,1,1,3,1,1,1,1
263,0,17,1,3,3,2,2,1,3,0,1,1,4,4,1,1,1
264,0,18,1,2,2,0,3,1,3,0,1,1,3,0,1,1,0
265,1,18,0,3,4,2,2,2,2,0,1,1,1,13,2,2,2
266,1,17,1,3,1,3,2,1,2,0,1,1,5,2,1,1,1
267,0,18,0,4,4,4,2,2,2,0,1,1,4,8,1,1,1
268,1,18,1,4,2,1,2,1,2,0,1,1,5,10,1,1,1
269,0,18,0,2,1,2,2,2,2,0,0,0,3,0,1,0,0
270,0,19,1,3,3,2,3,1,2,2,1,1,5,15,1,1,1
271,0,18,1,2,3,2,3,1,4,0,1,1,2,4,2,2,2
272,0,18,1,1,1,2,2,2,2,0,0,1,3,2,1,1,1
273,1,17,0,1,2,0,0,1,2,0,1,1,1,2,2,2,2
274,0,17,1,2,4,0,1,2,2,0,0,1,1,2,1,1,1
275,0,17,1,2,2,3,2,2,2,0,0,1,5,6,1,1,1
276,0,18,0,3,2,2,3,2,2,0,0,0,5,75,1,1,1
277,1,18,1,4,4,4,3,2,1,0,1,1,3,22,1,1,1
278,0,18,1,4,4,1,1,1,2,1,1,1,4,15,1,1,1
279,1,18,1,4,3,4,3,2,1,0,1,1,1,8,1,1,1
280,1,17,1,4,1,3,2,2,1,0,1,1,5,30,1,1,1
281,1,17,1,3,2,4,3,1,1,1,0,1,3,19,1,1,1
282,0,18,0,1,1,0,2,2,4,0,1,1,3,1,1,1,1
283,0,18,1,1,1,2,2,2,2,0,1,1,4,4,1,1,1
284,0,17,1,2,2,2,2,1,2,0,0,1,5,4,1,1,1
285,1,17,1,1,1,2,2,1,2,0,0,1,4,2,1,1,1
286,0,18,1,2,2,0,0,1,3,0,0,1,2,5,2,2,2
287,0,17,1,1,1,3,4,1,3,0,0,1,3,6,1,1,1
288,1,18,1,2,1,3,3,1,3,0,1,1,2,6,2,2,2
289,1,18,1,4,4,4,4,1,2,0,1,1,2,9,2,1,2
290,1,18,1,4,2,4,2,1,2,0,1,1,5,11,1,1,1
291,0,17,1,4,3,1,3,1,3,0,0,1,3,0,2,2,2
292,0,18,1,2,1,3,0,1,2,1,0,1,5,12,1,1,1
293,0,17,0,3,1,3,2,2,4,0,0,1,3,6,2,2,2
294,1,18,0,3,2,3,2,2,3,0,1,1,4,8,2,1,2
295,1,17,1,3,3,1,2,1,1,0,0,1,5,4,2,1,1
296,0,19,1,4,4,1,2,2,2,0,1,1,2,0,1,1,0
297,0,18,1,4,3,2,2,2,2,0,0,1,2,10,1,1,1
298,0,18,1,4,3,2,2,1,4,0,0,1,3,0,2,1,2
299,1,18,1,4,4,4,4,1,1,0,0,1,1,5,2,2,2
300,0,18,1,4,4,1,2,1,2,0,0,1,4,14,1,1,1
301,1,17,1,4,4,2,4,2,1,0,0,1,5,0,1,1,1
302,0,17,1,4,2,2,2,2,3,0,0,1,3,0,2,1,2
303,0,17,1,3,2,1,1,1,4,0,1,1,5,0,2,2,2
304,1,19,1,3,3,2,2,1,2,1,1,1,3,20,2,2,1
305,0,18,1,2,4,3,0,1,2,1,1,1,3,8,2,1,1
306,1,20,1,3,2,3,2,1,1,0,1,1,5,0,2,2,2
307,1,19,1,4,4,4,3,2,1,1,0,1,4,38,1,1,1
308,1,19,0,3,3,2,3,1,2,1,1,1,5,0,2,1,1
309,0,19,1,1,1,0,2,1,2,1,1,1,3,18,1,1,1
310,0,19,1,1,2,3,3,1,2,1,1,1,3,0,1,1,0
311,0,19,1,2,1,0,2,3,2,0,0,0,2,20,2,1,1
312,1,19,1,1,2,2,3,1,2,1,0,1,4,3,1,1,1
313,0,19,1,3,2,3,2,2,2,1,0,1,1,22,1,1,1
314,0,19,1,1,1,0,1,1,3,2,0,1,3,14,2,1,1
315,0,19,0,2,3,2,2,1,3,1,0,1,3,40,1,1,1
316,0,18,1,2,1,3,2,2,2,0,1,1,1,0,1,1,0
317,0,18,1,4,3,2,2,1,3,0,1,1,5,9,1,1,1
318,0,17,0,3,4,0,3,1,3,0,1,1,5,0,1,1,1
319,0,18,1,4,4,4,2,1,2,0,0,1,5,2,1,1,1
320,0,17,1,4,3,3,3,1,2,0,0,1,5,23,1,1,1
321,0,17,1,2,2,2,2,1,2,0,0,1,3,12,1,1,1
322,0,17,0,2,2,3,3,1,3,0,1,1,3,3,1,1,1
323,0,17,1,3,1,3,3,1,3,0,0,1,5,1,1,2,2
324,0,17,1,0,2,0,0,2,3,0,0,1,2,0,2,2,2
325,1,18,1,4,4,2,2,1,3,0,1,1,3,3,1,1,1
326,1,17,1,3,3,2,3,1,1,0,1,1,5,3,2,2,2
327,1,17,0,2,2,3,2,4,1,0,0,1,4,8,1,1,1
328,0,17,1,4,4,4,3,1,3,0,1,1,4,7,1,1,1
329,0,17,1,4,4,4,4,2,3,0,0,1,4,4,2,2,2
330,1,18,1,2,2,2,2,1,4,0,1,1,5,2,1,1,1
331,0,17,0,2,4,0,2,1,3,0,0,1,5,7,1,2,2
332,0,18,1,3,3,3,3,1,2,0,1,1,4,0,1,0,0
333,0,18,1,2,2,2,2,1,2,0,1,1,2,0,1,1,0
334,0,18,0,2,2,0,2,2,4,0,1,1,4,0,1,1,0
335,0,17,1,3,4,3,2,1,3,0,0,1,5,16,2,2,2
336,0,19,0,3,1,3,0,1,3,1,0,1,5,12,2,1,1
337,0,17,1,3,2,2,2,1,2,0,0,1,2,0,1,1,0
338,0,18,1,3,3,3,3,1,4,0,0,1,1,7,2,2,2
339,0,17,0,3,2,2,2,1,2,0,0,1,2,4,1,1,1
340,0,19,1,2,1,3,3,1,3,1,1,1,3,4,1,1,1
341,1,18,1,4,4,4,3,1,2,1,1,1,2,0,1,1,0
342,1,18,1,3,4,3,2,1,2,0,1,1,5,11,2,2,2
343,0,17,1,2,2,0,0,1,2,1,0,1,4,0,1,1,0
344,0,18,1,2,3,0,2,1,3,0,0,1,3,4,1,1,1
345,0,18,1,3,2,2,3,1,3,0,0,1,1,7,1,1,2
346,1,18,0,4,3,4,3,1,3,0,0,1,4,9,2,2,2
347,1,18,1,4,3,4,2,1,3,0,0,1,5,0,1,1,1
348,0,17,1,4,3,1,2,1,3,0,1,1,4,0,1,2,2
349,1,18,0,3,2,2,2,2,1,1,0,1,5,10,1,1,1
350,1,19,0,1,1,2,3,3,2,3,0,1,2,8,1,1,1
351,1,17,1,3,3,1,2,2,2,0,0,1,3,2,1,1,1
352,1,18,1,1,3,0,3,1,1,1,0,0,3,7,1,1,1
353,1,19,0,1,1,2,2,3,1,1,0,1,5,4,1,1,1
354,1,17,0,4,3,3,2,2,2,0,1,1,2,4,1,1,1
355,0,18,1,3,3,3,3,1,2,0,0,1,5,0,1,1,1
356,0,17,0,4,4,4,3,2,2,0,1,1,5,4,1,1,1
357,0,17,1,3,2,3,2,2,2,0,0,1,5,2,1,1,1
358,1,18,1,1,1,2,3,2,1,0,0,1,3,4,1,1,1
359,0,18,1,1,1,0,3,2,3,0,0,1,4,0,2,2,2
360,0,18,0,1,4,0,2,3,2,0,0,1,5,0,1,1,1
361,1,18,0,1,1,0,2,2,2,1,1,0,5,2,1,1,1
362,0,18,1,3,3,3,3,2,2,0,0,1,3,0,1,1,1
363,0,17,1,4,4,0,0,1,2,0,1,1,1,0,2,2,2
364,0,17,0,1,2,2,3,2,2,0,0,1,3,0,1,1,1
365,1,18,0,1,3,0,2,2,2,0,0,1,3,4,1,1,1
366,1,18,1,4,4,4,3,2,3,0,0,1,5,0,1,1,1
367,0,17,0,1,1,2,3,3,1,1,0,1,1,0,1,1,0
368,0,18,1,2,3,0,3,2,1,0,0,1,4,0,1,1,1
369,0,18,0,4,4,2,4,3,2,0,0,1,5,10,2,1,1
370,0,19,1,3,2,3,3,2,2,2,1,1,3,4,1,1,1
371,1,18,0,1,2,0,3,3,1,0,1,0,3,3,2,1,1
372,0,17,1,2,2,2,0,1,3,0,1,1,3,8,1,1,1
373,0,17,0,1,2,2,2,1,1,0,1,1,1,14,1,1,1
374,0,18,0,4,4,2,2,2,3,0,0,1,1,0,2,2,2
375,0,18,0,1,1,2,2,4,3,0,0,1,4,2,1,1,1
376,0,20,1,4,2,1,2,2,3,2,0,1,3,4,2,2,2
377,0,18,0,4,4,4,3,1,2,0,1,1,2,4,1,1,1
378,0,18,1,3,3,2,2,1,2,0,0,1,1,0,2,2,2
379,0,17,0,3,1,0,2,1,2,0,1,1,1,17,1,1,1
380,1,18,1,4,4,4,4,1,2,0,1,1,2,4,2,2,2
381,1,18,0,2,1,2,2,2,1,0,1,1,5,5,1,1,1
382,1,17,1,2,3,2,3,2,2,0,1,1,3,2,1,1,1
383,1,19,0,1,1,2,3,2,1,1,0,1,5,0,1,1,0
384,1,18,0,4,2,2,2,2,1,1,0,1,3,14,1,1,1
